TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:35:27:678;0;-62;0;0;-62;0;0,718;-0,054;-0,014;
14:35:27:836;0;0;-63;0;0;-62;0,730;-0,051;-0,014;
14:35:27:988;0;-62;0;0;-62;0;0,727;-0,054;-0,014;
14:35:28:146;0;0;-63;0;0;-62;0,710;-0,051;-0,014;
14:35:28:301;0;-63;0;0;-62;0;0,721;-0,052;-0,013;
14:35:28:452;0;0;-63;0;0;-62;0,719;-0,050;-0,014;
14:35:28:611;0;-62;0;0;-62;0;0,711;-0,055;-0,015;
14:35:28:763;0;0;-62;0;0;-62;0,734;-0,051;-0,014;
14:35:28:918;0;-62;0;0;-62;0;0,784;-0,044;0,015;
14:35:29:231;0;-62;0;0;-62;0;0,767;-0,045;-0,026;
14:35:29:710;0;0;-65;0;0;-62;1,012;-0,039;-0,012;
14:35:29:853;0;-67;0;0;-62;0;1,078;-0,058;-0,007;
14:35:30:003;0;0;-67;0;0;-62;1,058;-0,077;-0,017;
14:35:30:161;0;-69;0;0;-62;0;1,087;-0,050;-0,044;
14:35:30:313;0;0;-67;0;0;-63;1,131;-0,046;-0,010;
14:35:30:472;0;-67;0;0;-63;0;1,107;-0,059;0,007;
14:35:30:626;0;0;-67;0;0;-63;1,090;-0,046;-0,035;
14:35:30:781;0;-67;0;0;-63;0;1,076;-0,066;-0,025;
14:35:30:933;0;0;-65;0;0;-63;1,097;-0,063;-0,009;
14:35:31:091;0;-64;0;0;-63;0;1,126;-0,040;-0,016;
14:35:31:246;0;0;-64;0;0;-63;1,099;-0,057;-0,006;
14:35:31:401;0;-64;0;0;-63;0;1,061;-0,063;-0,024;
14:35:31:556;0;0;-64;0;0;-63;1,075;-0,054;-0,027;
14:35:32:059;0;-65;0;0;-63;0;1,095;-0,054;-0,008;
14:35:32:172;0;0;-64;0;0;-63;1,090;-0,066;-0,019;
14:35:32:331;0;-63;0;0;-63;0;1,111;-0,056;-0,021;
14:35:32:486;0;0;-64;0;0;-63;1,126;-0,058;-0,010;
14:35:32:641;0;-63;0;0;-63;0;1,143;-0,051;-0,009;
14:35:32:796;0;0;-64;0;0;-63;1,096;-0,055;-0,021;
14:35:32:954;0;-64;0;0;-63;0;1,089;-0,062;-0,016;
14:35:33:106;0;0;-63;0;0;-64;1,089;-0,054;-0,021;
14:35:33:261;0;-63;0;0;-63;0;1,101;-0,054;-0,012;
14:35:33:418;0;0;-64;0;0;-64;1,091;-0,056;-0,014;
14:35:33:571;0;-64;0;0;-63;0;1,092;-0,056;-0,018;
14:35:33:723;0;0;-64;0;0;-64;1,088;-0,061;-0,018;
14:35:33:881;0;-63;0;0;-63;0;1,093;-0,053;-0,021;
14:35:34:361;0;0;-64;0;0;-64;1,081;-0,054;-0,018;
14:35:34:501;0;-64;0;0;-64;0;1,083;-0,061;-0,015;
14:35:35:130;0;-65;0;0;-64;0;1,119;-0,054;-0,020;
14:35:35:276;0;0;-66;0;0;-64;1,128;-0,058;-0,016;
14:35:35:431;0;-66;0;0;-64;0;1,139;-0,057;-0,017;
14:35:35:586;0;0;-65;0;0;-64;1,154;-0,055;-0,014;
14:35:35:741;0;-65;0;0;-64;0;1,105;-0,056;-0,016;
14:35:35:896;0;0;-64;0;0;-64;1,083;-0,054;-0,020;
14:35:36:051;0;-64;0;0;-64;0;1,086;-0,059;-0,014;
14:35:36:206;0;0;-65;0;0;-64;1,103;-0,053;-0,017;
14:35:36:361;0;-65;0;0;-64;0;1,096;-0,060;-0,015;
14:35:36:516;0;0;-64;0;0;-64;1,098;-0,056;-0,016;
14:35:36:826;0;0;-65;0;0;-64;1,073;-0,059;-0,016;
14:35:37:320;0;-64;0;0;-64;0;1,084;-0,054;-0,017;
14:35:37:446;0;0;-64;0;0;-64;1,111;-0,054;-0,017;
14:35:37:598;0;-65;0;0;-64;0;1,098;-0,057;-0,016;
14:35:37:911;0;-65;0;0;-64;0;1,089;-0,056;-0,017;
14:35:38:066;0;0;-65;0;0;-64;1,082;-0,058;-0,015;
14:35:38:221;0;-65;0;0;-64;0;1,084;-0,054;-0,021;
14:35:38:376;0;0;-64;0;0;-64;1,082;-0,060;-0,014;
14:35:38:531;0;-64;0;0;-64;0;1,100;-0,053;-0,018;
14:35:38:686;0;0;-64;0;0;-64;1,092;-0,055;-0,019;
14:35:38:841;0;-65;0;0;-64;0;1,094;-0,056;-0,016;
14:35:38:993;0;0;-64;0;0;-64;1,089;-0,058;-0,020;
14:35:39:154;0;-64;0;0;-64;0;1,096;-0,056;-0,016;
14:35:39:939;0;0;-64;0;0;-64;1,076;-0,055;-0,017;
14:35:40:080;0;-65;0;0;-64;0;1,091;-0,056;-0,018;
14:35:40:236;0;0;-66;0;0;-64;1,097;-0,056;-0,015;
14:35:40:391;0;-64;0;0;-64;0;1,101;-0,053;-0,018;
14:35:40:546;0;0;-64;0;0;-64;1,089;-0,059;-0,021;
14:35:40:701;0;-64;0;0;-64;0;1,073;-0,057;-0,015;
14:35:40:856;0;0;-64;0;0;-64;1,079;-0,050;-0,019;
14:35:41:012;0;-63;0;0;-64;0;1,082;-0,057;-0,012;
14:35:41:166;0;0;-64;0;0;-64;1,088;-0,053;-0,022;
14:35:41:321;0;-64;0;0;-64;0;1,094;-0,056;-0,016;
14:35:41:476;0;0;-63;0;0;-64;1,088;-0,056;-0,017;
14:35:41:631;0;-64;0;0;-64;0;1,089;-0,054;-0,015;
14:35:41:786;0;0;-64;0;0;-64;1,079;-0,060;-0,017;
14:35:42:273;0;-64;0;0;-64;0;1,104;-0,057;-0,015;
14:35:42:406;0;0;-64;0;0;-64;1,127;-0,053;-0,020;
14:35:42:561;0;-64;0;0;-64;0;1,102;-0,060;-0,017;
14:35:42:716;0;0;-63;0;0;-64;1,115;-0,058;-0,017;
14:35:42:871;0;-64;0;0;-64;0;1,134;-0,050;-0,020;
14:35:43:026;0;0;-63;0;0;-64;1,090;-0,061;-0,013;
14:35:43:181;0;-63;0;0;-64;0;1,095;-0,052;-0,019;
14:35:43:336;0;0;-64;0;0;-64;1,090;-0,057;-0,014;
14:35:43:491;0;-63;0;0;-64;0;1,088;-0,054;-0,014;
14:35:43:646;0;0;-64;0;0;-64;1,093;-0,053;-0,021;
14:35:43:801;0;-64;0;0;-64;0;1,121;-0,049;0,002;
14:35:43:956;0;0;-66;0;0;-64;1,055;-0,089;-0,019;
14:35:44:110;0;-67;0;0;-64;0;1,196;-0,047;-0,010;
14:35:44:420;0;-66;0;0;-64;0;1,359;-0,066;-0,027;
14:35:45:062;0;-66;0;0;-64;0;1,576;-0,049;-0,010;
14:35:45:195;0;0;-67;0;0;-64;1,550;-0,062;-0,045;
14:35:45:350;0;-68;0;0;-64;0;1,588;-0,048;-0,018;
14:35:45:503;0;0;-67;0;0;-64;1,535;-0,075;0,001;
14:35:45:657;0;-66;0;0;-64;0;1,557;-0,069;-0,018;
14:35:45:814;0;0;-65;0;0;-64;1,589;-0,051;-0,026;
14:35:45:969;0;-65;0;0;-64;0;1,562;-0,066;-0,024;
14:35:46:129;0;0;-67;0;0;-64;1,590;-0,052;-0,000;
14:35:46:278;0;-68;0;0;-64;0;1,543;-0,072;-0,025;
14:35:46:432;0;0;-67;0;0;-64;1,594;-0,043;-0,015;
14:35:46:590;0;-65;0;0;-64;0;1,518;-0,074;-0,023;
14:35:46:745;0;0;-64;0;0;-64;1,573;-0,044;-0,004;
14:35:46:904;0;-66;0;0;-64;0;1,512;-0,074;-0,026;
14:35:47:388;0;0;-65;0;0;-64;1,545;-0,055;-0,012;
14:35:47:520;0;-65;0;0;-64;0;1,532;-0,066;-0,022;
14:35:47:672;0;0;-65;0;0;-64;1,558;-0,054;-0,013;
14:35:47:830;0;-66;0;0;-65;0;1,553;-0,062;-0,018;
14:35:47:986;0;0;-67;0;0;-64;1,565;-0,059;-0,017;
14:35:48:141;0;-67;0;0;-65;0;1,548;-0,059;-0,016;
14:35:48:296;0;0;-66;0;0;-64;1,541;-0,062;-0,014;
14:35:48:450;0;-65;0;0;-65;0;1,547;-0,056;-0,017;
14:35:48:605;0;0;-65;0;0;-65;1,537;-0,061;-0,016;
