TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:10:42:827;0;-78;0;0;-74;0;-0,055;0,012;-0,013;
14:10:42:983;0;0;-79;0;0;-75;-0,050;0,008;-0,009;
14:10:43:140;0;-78;0;0;-74;0;-0,043;0,012;-0,005;
14:10:43:296;0;0;-78;0;0;-75;-0,043;0,015;-0,004;
14:10:43:450;0;-79;0;0;-75;0;-0,046;0,009;-0,006;
14:10:43:607;0;0;-79;0;0;-76;-0,050;0,008;-0,008;
14:10:43:760;0;-79;0;0;-75;0;-0,055;0,013;-0,014;
14:10:44:390;0;-77;0;0;-75;0;-0,044;0,012;-0,009;
14:10:45:024;0;-77;0;0;-76;0;-0,057;0,010;-0,010;
14:10:45:158;0;0;-77;0;0;-76;-0,057;0,010;-0,008;
14:10:45:309;0;-77;0;0;-76;0;-0,057;0,011;-0,007;
14:10:45:462;0;0;-77;0;0;-76;-0,053;0,011;-0,005;
14:10:45:620;0;-77;0;0;-76;0;-0,054;0,008;-0,008;
14:10:45:775;0;0;-77;0;0;-77;-0,058;0,012;-0,010;
14:10:45:930;0;-76;0;0;-76;0;-0,054;0,010;-0,009;
14:10:46:085;0;0;-77;0;0;-77;-0,053;0,010;-0,008;
14:10:46:240;0;-76;0;0;-77;0;-0,050;0,010;-0,007;
14:10:46:395;0;0;-76;0;0;-77;-0,061;0,011;-0,010;
14:10:46:549;0;-76;0;0;-77;0;-0,057;0,010;-0,008;
14:10:46:704;0;0;-76;0;0;-77;-0,064;0,011;-0,009;
14:10:47:343;0;0;-77;0;0;-78;-0,067;0,016;-0,010;
14:10:47:480;0;-77;0;0;-77;0;-0,061;0,010;-0,010;
14:10:47:632;0;0;-78;0;0;-78;-0,057;0,007;-0,009;
14:10:47:790;0;-77;0;0;-77;0;-0,050;0,011;-0,007;
14:10:47:945;0;0;-78;0;0;-78;-0,047;0,012;-0,009;
14:10:48:100;0;-78;0;0;-77;0;-0,056;0,010;-0,007;
14:10:48:255;0;0;-77;0;0;-77;-0,054;0,011;-0,008;
14:10:48:410;0;-77;0;0;-77;0;-0,050;0,010;-0,006;
