TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
15:31:27:097;0;0;-59;0;0;-58;0,249;0,048;0,000;
15:31:27:252;0;-59;0;0;-59;0;0,258;0,048;0,000;
15:31:27:411;0;0;-58;0;0;-58;0,253;0,049;0,001;
15:31:27:562;0;-58;0;0;-59;0;0,255;0,050;0,001;
15:31:27:718;0;0;-58;0;0;-58;0,231;0,049;0,001;
15:31:28:802;0;-58;0;0;-59;0;0,289;0,049;-0,000;
15:31:29:114;0;-58;0;0;-59;0;0,196;0,050;0,003;
15:31:29:269;0;0;-57;0;0;-58;0,212;0,049;0,001;
15:31:29:422;0;-57;0;0;-59;0;0,221;0,051;0,001;
15:31:29:577;0;0;-59;0;0;-58;0,224;0,050;0,003;
15:31:29:732;0;-59;0;0;-59;0;0,222;0,050;0,001;
15:31:29:887;0;0;-59;0;0;-59;0,203;0,049;0,002;
15:31:30:042;0;-60;0;0;-60;0;0,202;0,049;0,001;
15:31:30:197;0;0;-60;0;0;-59;0,228;0,050;0,003;
15:31:30:354;0;-59;0;0;-60;0;0,231;0,049;0,001;
15:31:30:662;0;-59;0;0;-60;0;0,227;0,048;0,000;
15:31:31:295;0;-60;0;0;-60;0;0,263;0,051;0,002;
15:31:31:437;0;0;-59;0;0;-59;0,282;0,049;0,001;
15:31:31:592;0;-60;0;0;-60;0;0,272;0,049;0,002;
15:31:31:748;0;0;-60;0;0;-59;0,283;0,051;0,001;
15:31:31:902;0;-59;0;0;-59;0;0,261;0,050;0,003;
15:31:32:057;0;0;-60;0;0;-59;0,232;0,048;0,001;
15:31:32:212;0;-59;0;0;-59;0;0,234;0,049;0,002;
15:31:32:367;0;0;-59;0;0;-60;0,224;0,047;0,002;
15:31:32:854;0;-59;0;0;-59;0;0,212;0,048;0,000;
15:31:34:072;0;-57;0;0;-59;0;0,260;0,049;0,003;
15:31:34:227;0;0;-57;0;0;-59;0,214;0,050;0,002;
15:31:34:537;0;0;-58;0;0;-59;0,214;0,051;0,001;
15:31:34:847;0;0;-55;0;0;-59;0,209;0,050;0,000;
15:31:35:002;0;-57;0;0;-59;0;0,213;0,049;0,000;
15:31:35:157;0;0;-57;0;0;-59;0,298;0,049;0,003;
15:31:35:312;0;-57;0;0;-58;0;0,316;0,048;0,000;
15:31:35:625;0;-57;0;0;-58;0;0,330;0,050;0,004;
15:31:36:253;0;-58;0;0;-58;0;0,329;0,046;0,002;
15:31:36:397;0;0;-58;0;0;-58;0,322;0,049;0,002;
15:31:36:552;0;-58;0;0;-58;0;0,290;0,049;0,001;
15:31:36:707;0;0;-58;0;0;-58;0,313;0,050;0,001;
15:31:37:187;0;-58;0;0;-58;0;0,220;0,052;0,000;
15:31:37:482;0;-57;0;0;-58;0;0,194;0,049;0,000;
15:31:37:794;0;-57;0;0;-58;0;0,225;0,050;0,002;
