TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:26:43:462;0;0;-80;0;0;-85;-1,213;-0,002;-0,017;
14:26:43:927;0;-84;0;0;-85;0;-1,185;0,001;-0,017;
14:26:44:082;0;0;-93;0;0;-86;-1,238;0,070;-0,002;
14:26:44:702;0;0;-81;0;0;-85;-1,062;-0,060;-0,065;
14:26:45:012;0;0;-79;0;0;-85;-1,203;0,028;-0,071;
14:26:45:167;0;-82;0;0;-85;0;-1,099;-0,071;-0,068;
14:26:45:322;0;0;-87;0;0;-85;-1,282;0,094;0,008;
14:26:45:477;0;-84;0;0;-85;0;-1,212;0,004;-0,065;
14:26:45:632;0;0;-82;0;0;-84;-1,185;0,007;0,011;
14:26:45:787;0;-83;0;0;-85;0;-1,184;0,001;-0,000;
14:26:46:254;0;0;-85;0;0;-84;-1,210;0,014;-0,031;
14:26:46:562;0;0;-86;0;0;-84;-0,413;-0,335;0,325;
14:26:47:186;0;0;-83;0;0;-84;-1,219;0,019;-0,047;
14:26:47:337;0;-83;0;0;-85;0;-1,198;0,015;-0,029;
14:26:47:647;0;-81;0;0;-84;0;-1,187;0,014;-0,034;
14:26:47:805;0;0;-81;0;0;-84;-1,187;0,012;-0,038;
14:26:47:957;0;-81;0;0;-84;0;-1,187;0,016;-0,033;
14:26:48:422;0;0;-83;0;0;-83;-1,159;0,001;-0,030;
14:26:48:577;0;-83;0;0;-84;0;-1,171;0,013;-0,030;
14:26:48:730;0;0;-83;0;0;-83;-1,170;0,014;-0,033;
14:26:48:887;0;-83;0;0;-83;0;-1,168;0,013;-0,031;
14:26:49:352;0;0;-82;0;0;-83;-1,170;0,015;-0,035;
14:26:49:662;0;0;-80;0;0;-83;-1,165;0,013;-0,031;
14:26:49:817;0;-80;0;0;-83;0;-1,165;0,017;-0,019;
14:26:49:972;0;0;-80;0;0;-82;-1,164;0,013;-0,025;
14:26:50:127;0;-80;0;0;-83;0;-1,164;0,013;-0,029;
14:26:50:282;0;0;-80;0;0;-82;-1,158;0,010;-0,028;
14:26:50:750;0;-80;0;0;-82;0;-1,157;0,011;-0,029;
14:26:50:902;0;0;-80;0;0;-82;-1,168;0,015;-0,029;
14:26:51:212;0;0;-79;0;0;-82;-1,257;0,078;-0,032;
14:26:51:678;0;-80;0;0;-82;0;-1,169;0,013;-0,027;
14:26:51:677;0;-80;0;0;-77;0;-1,169;0,013;-0,027;
14:26:52:299;0;-78;0;0;-77;0;-1,151;0,010;-0,027;
14:26:52:298;0;-78;0;0;-81;0;-1,151;0,010;-0,027;
14:26:52:452;0;0;-81;0;0;-77;-1,154;0,009;-0,028;
14:26:52:456;0;0;-81;0;0;-82;-1,167;0,021;-0,025;
14:26:52:608;0;-82;0;0;-81;0;-1,161;0,017;-0,029;
14:26:52:607;0;-82;0;0;-77;0;-1,161;0,017;-0,029;
14:26:52:762;0;0;-79;0;0;-77;-1,168;0,018;-0,034;
14:26:52:934;0;-79;0;0;-77;0;-1,168;0,019;-0,031;
14:26:53:072;0;0;-77;0;0;-82;-1,161;0,016;-0,030;
14:26:53:072;0;0;-77;0;0;-77;-1,161;0,016;-0,030;
14:26:53:227;0;-78;0;0;-81;0;-1,160;0,015;-0,031;
14:26:53:228;0;-78;0;0;-77;0;-1,158;0,013;-0,031;
14:26:53:383;0;0;-81;0;0;-77;-1,161;0,015;-0,032;
14:26:53:385;0;0;-81;0;0;-82;-1,161;0,015;-0,032;
14:26:53:692;0;0;-79;0;0;-81;-1,160;0,015;-0,033;
14:26:53:692;0;0;-79;0;0;-77;-1,160;0,015;-0,033;
14:26:53:847;0;-81;0;0;-78;0;-1,159;0,015;-0,030;
14:26:53:848;0;-81;0;0;-81;0;-1,159;0,015;-0,030;
14:26:54:002;0;0;-81;0;0;-77;-1,156;0,014;-0,029;
14:26:54:002;0;0;-81;0;0;-81;-1,153;0,014;-0,029;
14:26:54:157;0;-82;0;0;-78;0;-1,160;0,013;-0,031;
14:26:54:158;0;-82;0;0;-81;0;-1,160;0,013;-0,031;
14:26:54:628;0;0;-78;0;0;-81;-1,167;0,015;-0,031;
14:26:54:630;0;0;-78;0;0;-77;-1,167;0,015;-0,031;
14:26:54:777;0;-78;0;0;-78;0;-1,157;0,012;-0,029;
14:26:54:781;0;-78;0;0;-81;0;-1,157;0,012;-0,029;
14:26:54:947;0;0;-78;0;0;-80;-1,161;0,014;-0,030;
14:26:54:947;0;0;-78;0;0;-77;-1,161;0,014;-0,030;
14:26:55:087;0;-78;0;0;-78;0;-1,159;0,014;-0,031;
14:26:55:242;0;0;-78;0;0;-77;-1,164;0,016;-0,033;
14:26:55:242;0;0;-78;0;0;-80;-1,164;0,016;-0,033;
14:26:55:397;0;-78;0;0;-81;0;-1,163;0,015;-0,030;
14:26:55:397;0;-78;0;0;-78;0;-1,163;0,015;-0,030;
14:26:55:707;0;-79;0;0;-80;0;-1,163;0,014;-0,032;
