TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
15:33:29:230;0;0;-73;0;0;-57;1,573;0,058;-0,024;
15:33:29:389;0;-84;0;0;-57;0;1,965;0,143;-0,090;
15:33:29:699;0;-72;0;0;-58;0;1,835;0,065;-0,050;
15:33:29:854;0;0;-72;0;0;-58;1,404;-0,122;-0,120;
15:33:30:009;0;-85;0;0;-59;0;2,091;0,103;-0,055;
15:33:30:164;0;0;-73;0;0;-58;2,065;0,099;-0,028;
15:33:30:784;0;0;-65;0;0;-59;2,100;0,061;-0,045;
15:33:30:939;0;-66;0;0;-60;0;2,099;0,056;-0,044;
15:33:31:097;0;0;-69;0;0;-59;2,093;0,055;-0,043;
15:33:31:559;0;-67;0;0;-60;0;2,101;0,054;-0,046;
15:33:31:714;0;0;-71;0;0;-60;2,099;0,056;-0,043;
15:33:31:869;0;-73;0;0;-61;0;2,097;0,054;-0,045;
15:33:32:025;0;0;-75;0;0;-61;2,096;0,056;-0,042;
15:33:32:179;0;-75;0;0;-62;0;2,106;0,055;-0,045;
15:33:32:334;0;0;-71;0;0;-62;2,127;0,056;-0,043;
15:33:32:489;0;-70;0;0;-63;0;2,133;0,055;-0,044;
15:33:32:954;0;0;-68;0;0;-63;2,115;0,057;-0,047;
15:33:33:264;0;0;-68;0;0;-63;2,110;0,056;-0,045;
15:33:33:729;0;-69;0;0;-63;0;2,096;0,058;-0,041;
15:33:33:884;0;0;-68;0;0;-64;2,100;0,056;-0,044;
15:33:34:042;0;-68;0;0;-64;0;2,092;0,054;-0,045;
15:33:34:194;0;0;-68;0;0;-64;2,105;0,056;-0,045;
15:33:34:349;0;-68;0;0;-65;0;2,106;0,055;-0,044;
15:33:34:507;0;0;-67;0;0;-65;2,116;0,054;-0,044;
15:33:34:814;0;0;-70;0;0;-65;2,094;0,050;-0,042;
15:33:35:279;0;-70;0;0;-65;0;2,105;0,057;-0,046;
15:33:35:434;0;0;-66;0;0;-66;2,113;0,058;-0,045;
15:33:35:589;0;-62;0;0;-66;0;2,109;0,057;-0,046;
15:33:36:054;0;0;-71;0;0;-66;2,110;0,056;-0,046;
