TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:15:48:912;0;-77;0;0;-75;0;0,192;0,021;-0,015;
14:15:48:913;0;-77;0;0;-76;0;0,192;0,021;-0,015;
14:15:49:067;0;0;-75;0;0;-75;0,187;0,024;-0,014;
14:15:49:067;0;0;-75;0;0;-76;0,187;0,024;-0,014;
14:15:49:222;0;-75;0;0;-75;0;0,203;0,025;-0,015;
14:15:49:222;0;-75;0;0;-76;0;0,204;0,025;-0,015;
14:15:49:377;0;0;-72;0;0;-75;0,209;0,025;-0,016;
14:15:49:377;0;0;-72;0;0;-75;0,209;0,025;-0,016;
14:15:49:857;0;-78;0;0;-75;0;0,148;0,025;-0,016;
14:15:49:858;0;-78;0;0;-76;0;0,148;0,025;-0,016;
14:15:49:997;0;0;-75;0;0;-75;0,149;0,022;-0,016;
14:15:49:997;0;0;-75;0;0;-75;0,149;0,022;-0,016;
14:15:50:152;0;-77;0;0;-76;0;0,151;0,024;-0,015;
14:15:50:152;0;-77;0;0;-76;0;0,151;0,024;-0,015;
14:15:50:307;0;0;-76;0;0;-75;0,157;0,022;-0,015;
14:15:50:307;0;0;-76;0;0;-75;0,157;0,022;-0,015;
14:15:50:781;0;-76;0;0;-76;0;0,157;0,022;-0,016;
14:15:50:781;0;-76;0;0;-76;0;0,157;0,022;-0,016;
14:15:51:082;0;-75;0;0;-76;0;0,158;0,020;-0,017;
14:15:51:082;0;-75;0;0;-76;0;0,158;0,020;-0,017;
14:15:51:237;0;0;-78;0;0;-75;0,161;0,025;-0,014;
14:15:51:238;0;0;-78;0;0;-75;0,160;0,023;-0,015;
14:15:51:391;0;-73;0;0;-76;0;0,152;0,028;-0,018;
14:15:51:391;0;-73;0;0;-76;0;0,152;0,028;-0,018;
14:15:51:547;0;0;-74;0;0;-75;0,159;0,026;-0,017;
14:15:51:548;0;0;-74;0;0;-75;0,159;0,026;-0,017;
