RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-67,-64,-79,-69,-76,-92,-82,-85,start
-76,-79,-88,-86,-87,-94,-72,-77,lock
-72,-78,-61,-67,-91,-80,-87,-78,right
-81,-89,-86,-82,-61,-80,-82,-91,front
-79,-65,-78,-42,-82,-95,-66,-70,trunk
-80,-82,-79,-78,-84,-83,-74,-72,back
-64,-73,-85,-71,-78,-94,-71,-87,left
-72,-87,-59,-68,-85,-85,-90,-81,right
-90,-84,-74,-76,-94,-81,-72,-72,lock
-86,-88,-92,-83,-62,-72,-90,-90,front
-66,-63,-68,-37,-85,-89,-62,-65,trunk
-44,-67,-76,-80,-86,-94,-78,-74,left
-72,-67,-69,-47,-82,-91,-68,-67,trunk
-90,-78,-76,-80,-84,-72,-84,-73,lock
-79,-83,-87,-87,-68,-79,-83,-91,front
-44,-65,-82,-70,-78,-94,-84,-79,left
-74,-75,-82,-76,-86,-89,-59,-83,back
-69,-64,-71,-56,-89,-95,-69,-63,trunk
-68,-61,-63,-63,-88,-91,-87,-79,start
-81,-82,-96,-91,-69,-87,-88,-89,lock
-78,-95,-94,-86,-78,-95,-78,-87,lock
-68,-77,-87,-74,-75,-89,-75,-84,left
-82,-78,-78,-84,-82,-65,-95,-90,right
-72,-87,-92,-76,-75,-86,-79,-90,lock
-65,-64,-73,-70,-81,-92,-80,-76,start
-70,-77,-76,-78,-72,-94,-78,-82,left
-66,-66,-67,-55,-85,-94,-72,-68,trunk
-84,-81,-71,-87,-86,-73,-73,-69,right
-83,-82,-88,-79,-72,-71,-88,-92,front
-81,-86,-86,-82,-69,-71,-86,-89,front
-75,-67,-81,-68,-81,-86,-83,-82,start
-72,-73,-71,-43,-92,-89,-71,-72,trunk
-74,-85,-79,-73,-83,-89,-69,-73,back
-83,-83,-82,-86,-62,-81,-88,-90,front
-74,-63,-72,-36,-81,-90,-65,-77,trunk
-77,-66,-59,-71,-80,-81,-85,-88,right
-59,-72,-83,-71,-80,-93,-74,-83,left
-71,-85,-92,-80,-78,-91,-69,-81,lock
-68,-59,-62,-61,-86,-83,-80,-79,start
-87,-74,-77,-74,-89,-73,-86,-70,right
-77,-73,-69,-69,-79,-83,-81,-87,right
-69,-62,-74,-65,-80,-96,-90,-82,start
-75,-66,-60,-72,-77,-82,-83,-84,right
-82,-73,-70,-77,-81,-77,-92,-74,right
-68,-63,-60,-63,-81,-86,-80,-83,start
-72,-78,-81,-78,-68,-92,-75,-83,left
-73,-82,-88,-85,-73,-89,-73,-86,lock
-83,-80,-65,-75,-91,-75,-79,-70,right
-63,-57,-68,-67,-79,-91,-83,-84,start
-72,-55,-73,-66,-85,-76,-84,-84,start
-66,-62,-65,-60,-82,-80,-78,-87,start
-69,-59,-73,-66,-88,-85,-90,-85,start
-69,-64,-76,-67,-81,-85,-82,-85,start
-64,-74,-85,-70,-76,-95,-69,-85,left
-74,-58,-75,-63,-82,-83,-89,-88,start
-87,-76,-79,-81,-78,-62,-90,-89,right
-84,-82,-87,-83,-71,-84,-85,-95,front
-70,-72,-74,-53,-84,-90,-73,-64,trunk
-83,-82,-85,-83,-65,-80,-83,-89,front
-79,-83,-95,-86,-78,-75,-90,-95,front
-78,-96,-92,-79,-72,-75,-79,-88,front
-75,-81,-85,-79,-59,-84,-82,-84,front
-86,-80,-81,-80,-87,-68,-89,-83,right
-80,-87,-94,-83,-72,-74,-87,-91,front
-70,-67,-69,-47,-87,-93,-64,-66,trunk
-75,-63,-75,-57,-89,-87,-72,-74,trunk
-73,-83,-86,-73,-82,-88,-67,-72,back
-67,-55,-73,-64,-85,-88,-82,-80,start
-72,-64,-72,-48,-88,-92,-67,-69,trunk
-66,-67,-68,-47,-88,-86,-65,-65,trunk
-74,-58,-73,-65,-83,-82,-81,-89,start
-85,-87,-62,-77,-86,-71,-90,-79,right
-72,-58,-70,-65,-93,-79,-82,-79,start
-75,-82,-87,-89,-66,-80,-81,-91,front
-73,-90,-91,-85,-65,-76,-80,-92,front
-75,-64,-74,-67,-85,-92,-82,-76,start
-70,-63,-79,-63,-83,-82,-93,-80,start
-64,-67,-72,-65,-82,-86,-81,-93,start
-71,-60,-72,-69,-85,-83,-83,-84,start
-87,-74,-74,-80,-87,-60,-91,-85,right
-70,-71,-65,-34,-85,-93,-76,-71,trunk
-81,-82,-77,-76,-83,-83,-70,-73,back
-81,-56,-75,-72,-92,-87,-84,-87,start
-85,-78,-71,-83,-87,-85,-81,-75,lock
-71,-59,-64,-59,-78,-87,-81,-81,start
-70,-70,-66,-45,-87,-91,-70,-69,trunk
-71,-60,-67,-71,-80,-93,-83,-86,start
-72,-66,-69,-34,-89,-86,-78,-64,trunk
-72,-85,-88,-81,-78,-89,-71,-76,lock
-80,-81,-78,-72,-84,-87,-63,-69,back
-72,-74,-80,-66,-87,-93,-72,-62,back
-74,-52,-76,-71,-85,-90,-82,-89,start
-61,-76,-84,-71,-85,-90,-71,-87,left
-73,-88,-89,-87,-64,-80,-84,-91,lock
-71,-85,-95,-78,-70,-91,-80,-83,left
-68,-84,-96,-73,-78,-92,-78,-85,left
-67,-65,-68,-46,-81,-94,-71,-70,trunk
-81,-71,-57,-73,-82,-71,-87,-88,right
-75,-78,-87,-73,-67,-93,-77,-83,left
-78,-69,-70,-36,-90,-91,-69,-68,trunk
-73,-65,-72,-44,-88,-85,-68,-71,trunk
-74,-87,-61,-77,-90,-77,-90,-83,right
-69,-61,-62,-60,-85,-83,-73,-79,start
-66,-80,-91,-80,-71,-92,-78,-84,left
-71,-66,-66,-44,-86,-91,-73,-65,trunk
-74,-67,-63,-52,-83,-88,-73,-76,start
-75,-77,-77,-70,-83,-91,-63,-72,back
-66,-62,-71,-67,-80,-94,-87,-83,start
-75,-69,-49,-76,-86,-76,-91,-81,right
-83,-79,-63,-73,-86,-83,-85,-70,right
-73,-80,-84,-66,-79,-93,-71,-77,back
-85,-78,-70,-80,-90,-73,-90,-81,right
-70,-87,-87,-84,-72,-91,-82,-85,lock
-82,-81,-72,-82,-83,-69,-91,-75,right
-69,-61,-72,-66,-78,-91,-83,-84,start
-83,-83,-87,-76,-79,-71,-92,-91,front
-72,-88,-92,-73,-84,-93,-72,-89,lock
-67,-63,-61,-64,-87,-85,-74,-88,start
-83,-90,-66,-77,-91,-71,-93,-85,right
-77,-89,-85,-80,-86,-92,-70,-71,lock
-62,-73,-85,-73,-77,-94,-72,-81,left
-68,-79,-84,-80,-77,-92,-77,-79,left
-69,-84,-86,-72,-76,-97,-72,-82,left
-63,-71,-74,-72,-88,-95,-71,-88,left
-63,-83,-81,-74,-75,-94,-71,-85,left
-71,-57,-65,-62,-82,-82,-82,-85,start
-62,-77,-81,-75,-72,-93,-76,-81,left
-88,-79,-77,-80,-83,-65,-91,-86,right
-74,-65,-71,-46,-91,-89,-70,-67,trunk
-86,-87,-87,-79,-71,-71,-90,-89,front
-69,-44,-74,-72,-87,-83,-87,-82,start
-79,-86,-78,-74,-84,-94,-65,-75,back
-71,-69,-67,-44,-92,-89,-70,-72,trunk
-61,-74,-84,-74,-74,-97,-73,-82,left
-86,-82,-72,-89,-85,-71,-91,-74,lock
-74,-79,-87,-81,-64,-78,-79,-86,front
-83,-85,-72,-73,-88,-89,-77,-68,back
-89,-82,-78,-81,-86,-69,-87,-87,front
-74,-61,-71,-73,-89,-74,-94,-90,right
-68,-65,-73,-43,-83,-94,-73,-71,trunk
-83,-85,-86,-81,-74,-65,-93,-95,front
-68,-72,-71,-39,-82,-91,-64,-61,trunk
-77,-53,-75,-65,-81,-78,-85,-93,start
-66,-73,-87,-70,-78,-97,-69,-87,left
-90,-82,-82,-88,-86,-74,-84,-84,lock
-78,-76,-77,-79,-86,-66,-87,-82,right
-60,-58,-72,-56,-76,-84,-88,-81,start
-72,-93,-93,-81,-79,-92,-67,-73,lock
-72,-76,-87,-72,-73,-84,-79,-87,left
-61,-60,-74,-57,-83,-89,-79,-83,start
-82,-87,-86,-83,-78,-88,-75,-73,lock
-77,-87,-93,-81,-72,-71,-91,-93,front
-71,-76,-86,-87,-85,-90,-69,-78,back
-81,-80,-86,-73,-90,-91,-68,-58,back
-72,-62,-72,-72,-87,-87,-79,-87,start
-71,-64,-71,-35,-94,-92,-69,-73,trunk
-71,-65,-58,-65,-86,-86,-78,-74,start
-83,-90,-87,-74,-89,-76,-94,-79,lock
-85,-83,-75,-72,-90,-85,-71,-67,back
-73,-63,-74,-43,-82,-88,-64,-68,trunk
-73,-58,-72,-63,-84,-81,-87,-83,start
-85,-73,-78,-63,-88,-88,-68,-71,back
-71,-79,-92,-74,-73,-92,-71,-82,lock
-90,-82,-89,-87,-67,-71,-87,-89,front
-59,-71,-79,-70,-87,-96,-75,-83,left
-73,-85,-95,-80,-76,-94,-71,-76,lock
-58,-61,-69,-60,-78,-89,-78,-75,start
-66,-60,-66,-57,-80,-84,-77,-84,start
-80,-84,-89,-83,-86,-69,-90,-87,front
-67,-58,-73,-71,-79,-89,-81,-82,start
-80,-73,-85,-85,-79,-65,-94,-89,right
-84,-78,-71,-82,-87,-84,-81,-75,lock
-65,-77,-85,-72,-72,-92,-73,-84,left
-74,-86,-88,-78,-66,-77,-78,-91,front
-67,-53,-68,-58,-81,-84,-76,-82,start
-85,-73,-69,-80,-81,-76,-87,-76,right
-69,-76,-79,-76,-73,-92,-77,-84,left
-84,-91,-94,-86,-72,-71,-88,-97,lock
-88,-91,-87,-78,-90,-84,-76,-72,lock
-70,-62,-71,-43,-88,-95,-69,-77,trunk
-54,-71,-72,-63,-82,-90,-81,-88,left
