access,internal,lock,Max Prob,Prediction,Reference
0.28,0.00,0.72,0.72,lock,lock
0.97,0.00,0.03,0.97,access,access
0.91,0.00,0.09,0.91,access,access
0.99,0.00,0.01,0.99,access,access
0.94,0.00,0.06,0.94,access,access
0.00,1.00,0.00,1.00,internal,internal
0.71,0.00,0.29,0.71,access,access
0.97,0.02,0.01,0.97,access,access
0.07,0.00,0.93,0.93,lock,lock
1.00,0.00,0.00,1.00,access,access
0.07,0.00,0.93,0.93,lock,lock
0.29,0.66,0.05,0.66,internal,internal
0.45,0.00,0.55,0.55,lock,lock
0.88,0.00,0.12,0.88,access,access
0.36,0.00,0.64,0.64,lock,lock
0.97,0.00,0.03,0.97,access,access
0.77,0.00,0.23,0.77,access,access
0.12,0.88,0.00,0.88,internal,internal
0.11,0.00,0.89,0.89,lock,lock
0.14,0.00,0.86,0.86,lock,lock
0.98,0.00,0.02,0.98,access,access
0.97,0.00,0.03,0.97,access,access
0.95,0.00,0.05,0.95,access,access
0.50,0.00,0.50,0.50,access,access
0.95,0.01,0.04,0.95,access,access
0.00,1.00,0.00,1.00,internal,internal
0.01,0.99,0.00,0.99,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.24,0.00,0.76,0.76,lock,lock
0.86,0.02,0.12,0.86,access,access
0.93,0.00,0.07,0.93,access,access
0.29,0.00,0.71,0.71,lock,lock
0.74,0.00,0.26,0.74,access,access
0.21,0.00,0.79,0.79,lock,lock
0.44,0.00,0.56,0.56,lock,access
0.01,0.99,0.00,0.99,internal,internal
0.11,0.00,0.89,0.89,lock,lock
0.05,0.95,0.00,0.95,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.02,0.00,0.98,0.98,lock,lock
0.93,0.06,0.01,0.93,access,access
0.92,0.00,0.08,0.92,access,access
0.89,0.00,0.11,0.89,access,access
0.95,0.00,0.05,0.95,access,access
0.69,0.01,0.30,0.69,access,access
0.84,0.15,0.01,0.84,access,access
0.70,0.00,0.30,0.70,access,access
0.32,0.00,0.68,0.68,lock,access
0.34,0.00,0.66,0.66,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.99,0.01,0.00,0.99,access,access
0.71,0.00,0.29,0.71,access,access
0.79,0.01,0.20,0.79,access,access
0.19,0.00,0.81,0.81,lock,lock
0.98,0.00,0.02,0.98,access,access
0.05,0.94,0.01,0.94,internal,internal
0.01,0.99,0.00,0.99,internal,internal
0.26,0.00,0.74,0.74,lock,lock
0.24,0.00,0.76,0.76,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.97,0.02,0.01,0.97,access,access
0.04,0.96,0.00,0.96,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.56,0.43,0.01,0.56,access,access
0.53,0.44,0.03,0.53,access,internal
0.16,0.00,0.84,0.84,lock,lock
0.01,0.99,0.00,0.99,internal,internal
0.02,0.98,0.00,0.98,internal,internal
0.99,0.01,0.00,0.99,access,access
0.97,0.00,0.03,0.97,access,access
0.00,1.00,0.00,1.00,internal,internal
0.98,0.01,0.01,0.98,access,access
0.90,0.01,0.09,0.90,access,access
0.81,0.00,0.19,0.81,access,lock
0.65,0.00,0.35,0.65,access,access
0.77,0.00,0.23,0.77,access,lock
0.00,1.00,0.00,1.00,internal,internal
0.85,0.00,0.15,0.85,access,access
0.36,0.00,0.64,0.64,lock,access
0.31,0.00,0.69,0.69,lock,access
0.37,0.00,0.63,0.63,lock,lock
0.83,0.00,0.17,0.83,access,access
0.26,0.00,0.74,0.74,lock,lock
0.07,0.93,0.00,0.93,internal,internal
0.18,0.00,0.82,0.82,lock,lock
0.83,0.00,0.17,0.83,access,access
0.11,0.00,0.89,0.89,lock,lock
0.91,0.00,0.09,0.91,access,access
0.91,0.00,0.09,0.91,access,access
0.77,0.00,0.23,0.77,access,access
0.93,0.00,0.07,0.93,access,access
0.17,0.00,0.83,0.83,lock,lock
0.69,0.30,0.01,0.69,access,access
0.81,0.00,0.19,0.81,access,access
0.95,0.02,0.03,0.95,access,access
0.73,0.00,0.27,0.73,access,lock
0.01,0.99,0.00,0.99,internal,internal
0.50,0.00,0.50,0.50,access,lock
0.93,0.01,0.06,0.93,access,access
0.01,0.99,0.00,0.99,internal,internal
0.03,0.96,0.01,0.96,internal,internal
0.92,0.00,0.08,0.92,access,access
0.34,0.00,0.66,0.66,lock,lock
0.86,0.00,0.14,0.86,access,access
0.25,0.00,0.75,0.75,lock,lock
0.40,0.01,0.59,0.59,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.87,0.05,0.08,0.87,access,access
0.54,0.00,0.46,0.54,access,lock
1.00,0.00,0.00,1.00,access,access
0.53,0.00,0.47,0.53,access,access
0.69,0.00,0.31,0.69,access,access
0.08,0.00,0.92,0.92,lock,lock
0.84,0.00,0.16,0.84,access,access
0.86,0.00,0.14,0.86,access,access
1.00,0.00,0.00,1.00,access,access
0.75,0.00,0.25,0.75,access,lock
0.32,0.01,0.67,0.67,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.87,0.00,0.13,0.87,access,access
0.83,0.00,0.17,0.83,access,lock
0.54,0.00,0.46,0.54,access,lock
0.78,0.00,0.22,0.78,access,access
0.38,0.00,0.62,0.62,lock,lock
0.97,0.00,0.03,0.97,access,access
0.65,0.29,0.06,0.65,access,access
0.96,0.00,0.04,0.96,access,access
0.09,0.91,0.00,0.91,internal,internal
0.07,0.93,0.00,0.93,internal,internal
0.93,0.00,0.07,0.93,access,access
0.50,0.00,0.50,0.50,access,lock
0.00,1.00,0.00,1.00,internal,internal
0.21,0.79,0.00,0.79,internal,access
0.49,0.00,0.51,0.51,lock,lock
1.00,0.00,0.00,1.00,access,access
0.00,1.00,0.00,1.00,internal,internal
0.27,0.00,0.73,0.73,lock,lock
0.92,0.00,0.08,0.92,access,access
0.66,0.33,0.01,0.66,access,access
0.84,0.00,0.16,0.84,access,lock
0.42,0.00,0.58,0.58,lock,lock
0.98,0.00,0.02,0.98,access,access
0.01,0.99,0.00,0.99,internal,internal
0.86,0.00,0.14,0.86,access,access
0.00,1.00,0.00,1.00,internal,internal
0.93,0.01,0.06,0.93,access,access
0.66,0.11,0.23,0.66,access,access
