RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-66,-60,-62,-53,-71,-82,-74,-71,start
-77,-80,-83,-86,-67,-81,-84,-87,front
-60,-74,-72,-69,-81,-95,-68,-82,left
-78,-77,-66,-74,-85,-75,-92,-76,right
-70,-71,-74,-48,-88,-86,-72,-67,trunk
-86,-80,-75,-79,-85,-78,-89,-79,lock
-77,-66,-70,-38,-83,-89,-75,-71,trunk
-77,-88,-87,-73,-87,-93,-75,-84,lock
-84,-87,-76,-73,-81,-83,-72,-75,back
-64,-81,-85,-78,-73,-94,-76,-90,left
-81,-76,-58,-75,-92,-73,-89,-86,right
-71,-88,-86,-80,-74,-97,-78,-85,lock
-73,-59,-69,-67,-79,-76,-84,-85,start
-70,-84,-93,-73,-77,-92,-76,-87,left
-72,-56,-63,-64,-79,-81,-74,-77,start
-68,-78,-85,-70,-79,-95,-70,-90,left
-67,-82,-85,-78,-68,-90,-80,-89,left
-88,-78,-65,-80,-85,-73,-84,-73,right
-72,-62,-63,-36,-81,-87,-72,-63,trunk
-77,-86,-85,-82,-71,-74,-78,-91,front
-87,-78,-70,-75,-87,-68,-89,-80,right
-79,-80,-78,-71,-81,-92,-64,-69,back
-63,-71,-81,-67,-84,-94,-69,-79,left
-69,-63,-79,-50,-79,-89,-69,-69,trunk
-67,-64,-75,-42,-84,-88,-66,-78,trunk
-86,-82,-83,-72,-88,-91,-67,-67,back
-71,-61,-68,-41,-92,-86,-69,-65,trunk
-89,-76,-68,-81,-86,-75,-85,-73,right
-82,-77,-88,-79,-74,-63,-86,-85,front
-80,-66,-84,-67,-79,-86,-85,-83,start
-76,-87,-85,-76,-83,-92,-66,-73,back
-80,-79,-84,-70,-81,-87,-59,-67,back
-72,-50,-70,-70,-78,-78,-84,-81,start
-73,-81,-91,-72,-76,-94,-70,-92,left
-82,-91,-86,-77,-76,-63,-94,-85,front
-72,-86,-96,-75,-84,-94,-70,-70,back
-76,-55,-72,-66,-83,-83,-76,-83,start
-68,-59,-76,-77,-93,-84,-84,-78,start
-81,-81,-78,-78,-75,-66,-93,-87,front
-73,-79,-88,-71,-83,-94,-66,-82,back
-60,-62,-72,-69,-80,-95,-88,-82,start
-58,-64,-76,-68,-79,-93,-85,-82,start
-68,-71,-72,-51,-85,-91,-75,-72,trunk
-76,-58,-79,-58,-88,-85,-85,-83,start
-71,-72,-54,-71,-80,-87,-88,-95,right
-78,-82,-86,-75,-86,-96,-64,-72,back
-70,-67,-68,-64,-82,-90,-77,-81,start
-82,-83,-86,-77,-71,-76,-80,-86,front
-82,-86,-89,-75,-73,-91,-74,-94,lock
-83,-89,-90,-79,-85,-84,-78,-77,lock
-70,-57,-58,-58,-79,-90,-75,-83,start
-71,-61,-64,-35,-88,-92,-67,-67,trunk
-81,-79,-70,-77,-86,-74,-96,-79,right
-87,-76,-74,-89,-85,-75,-88,-78,right
-70,-67,-69,-48,-90,-92,-77,-71,trunk
-80,-78,-87,-78,-72,-64,-87,-83,front
-63,-74,-83,-72,-79,-96,-80,-81,left
-74,-62,-67,-65,-87,-84,-79,-85,start
-89,-77,-72,-90,-78,-65,-92,-80,right
-71,-65,-60,-51,-76,-88,-73,-84,start
-65,-78,-90,-79,-72,-93,-72,-90,left
-85,-80,-83,-81,-90,-81,-91,-77,lock
-69,-56,-85,-66,-86,-89,-76,-76,start
-85,-76,-81,-80,-78,-80,-94,-91,front
-67,-66,-69,-33,-82,-88,-78,-67,trunk
-81,-89,-86,-84,-85,-91,-69,-69,back
-66,-62,-75,-68,-86,-93,-87,-76,start
-69,-64,-60,-62,-79,-88,-81,-82,start
-78,-82,-85,-74,-87,-90,-66,-75,back
-67,-55,-67,-61,-82,-83,-81,-74,start
-87,-75,-81,-82,-87,-62,-91,-91,right
-65,-67,-65,-51,-83,-90,-73,-69,trunk
-72,-81,-85,-77,-72,-90,-75,-91,lock
-63,-74,-83,-72,-79,-96,-80,-81,left
-65,-54,-69,-57,-72,-84,-72,-77,start
-94,-81,-74,-81,-88,-71,-85,-74,lock
-55,-60,-75,-59,-83,-86,-77,-80,start
-59,-58,-67,-57,-81,-85,-76,-80,start
-93,-83,-77,-80,-85,-80,-73,-79,lock
-77,-91,-83,-86,-64,-82,-86,-90,front
-67,-83,-84,-72,-79,-98,-69,-83,left
-75,-89,-92,-80,-65,-76,-81,-91,front
-61,-73,-80,-70,-78,-95,-69,-83,left
-72,-53,-71,-65,-86,-85,-84,-82,start
-78,-72,-80,-63,-88,-91,-68,-70,back
-82,-82,-76,-76,-81,-85,-71,-78,back
-80,-82,-85,-73,-85,-89,-66,-64,back
-81,-92,-91,-82,-64,-77,-80,-91,front
-85,-91,-92,-89,-66,-89,-84,-94,lock
-78,-72,-55,-71,-88,-75,-85,-86,right
-81,-77,-84,-67,-85,-90,-69,-63,back
-73,-58,-72,-64,-84,-78,-82,-83,start
-81,-81,-85,-70,-81,-93,-68,-59,back
-64,-75,-83,-71,-77,-95,-72,-85,left
-65,-76,-85,-78,-82,-91,-73,-81,left
-74,-90,-86,-85,-94,-94,-72,-69,lock
-67,-61,-69,-72,-84,-85,-87,-92,start
-64,-60,-66,-35,-85,-90,-69,-71,trunk
-79,-82,-86,-85,-62,-76,-83,-86,front
-84,-85,-87,-81,-64,-76,-87,-95,front
-83,-73,-79,-75,-83,-66,-91,-75,right
-80,-81,-89,-76,-66,-68,-90,-91,front
-72,-69,-74,-44,-89,-93,-69,-71,trunk
-76,-71,-72,-78,-83,-72,-88,-84,right
-73,-89,-88,-71,-79,-93,-60,-73,back
-79,-76,-82,-88,-80,-63,-94,-90,right
-64,-64,-69,-63,-82,-83,-83,-90,start
-93,-84,-87,-95,-82,-71,-88,-88,lock
-62,-73,-81,-64,-92,-92,-64,-86,left
-63,-78,-86,-81,-78,-91,-70,-86,left
-67,-79,-81,-71,-78,-93,-70,-87,left
-82,-89,-90,-81,-72,-69,-90,-91,front
-82,-88,-94,-79,-67,-73,-99,-93,front
-71,-76,-81,-70,-83,-94,-62,-78,back
-86,-83,-88,-71,-89,-89,-64,-67,back
-73,-59,-74,-68,-87,-82,-84,-92,start
-66,-55,-76,-66,-81,-85,-91,-82,start
-70,-66,-70,-36,-90,-90,-66,-65,trunk
-74,-58,-73,-64,-79,-81,-85,-83,start
-75,-81,-83,-78,-88,-90,-71,-66,back
-89,-85,-86,-70,-93,-93,-66,-63,back
-76,-73,-73,-65,-82,-94,-67,-77,back
-75,-63,-68,-67,-81,-92,-76,-81,start
-76,-77,-86,-69,-86,-93,-67,-71,back
-67,-56,-61,-55,-81,-87,-77,-76,start
-73,-61,-66,-61,-81,-92,-87,-79,start
-71,-76,-86,-84,-85,-90,-69,-77,back
-68,-72,-74,-53,-84,-93,-74,-71,trunk
-88,-76,-71,-74,-93,-77,-85,-71,right
-86,-87,-83,-86,-87,-91,-74,-78,lock
-70,-67,-64,-43,-86,-93,-70,-67,trunk
-73,-66,-71,-64,-79,-84,-85,-87,start
-66,-62,-65,-60,-82,-80,-78,-87,start
-82,-87,-92,-76,-94,-90,-81,-67,lock
