RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;COUNTER FLAG
-89;-92;-85;-85;-70;-77;-58;-84;1
-89;-92;-85;-85;-70;-77;-58;-84;1
-89;-93;-87;-85;-70;-77;-58;-84;1
-87;-93;-85;-85;-70;-77;-58;-81;1
-88;-93;-86;-84;-69;-77;-58;-80;1
-88;-91;-86;-84;-69;-77;-58;-80;1
-88;-91;-87;-84;-69;-76;-58;-81;1
-89;-91;-89;-86;-70;-77;-57;-82;1
-87;-91;-88;-86;-69;-77;-58;-84;2
-86;-91;-88;-84;-69;-77;-58;-84;2
-88;-91;-87;-84;-69;-76;-57;-84;2
-87;-91;-88;-85;-69;-76;-57;-84;2
-89;-93;-88;-85;-68;-76;-57;-84;2
-89;-93;-88;-85;-68;-76;-57;-84;2
-89;-93;-88;-85;-68;-76;-57;-84;2
-89;-93;-85;-85;-68;-76;-57;-84;2
-89;-93;-85;-83;-67;-76;-58;-82;2
-91;-93;-84;-83;-67;-76;-60;-84;2
-91;-93;-89;-83;-67;-81;-60;-92;2
-91;-93;-93;-81;-64;-81;-58;-80;2
-84;-93;-80;-81;-64;-81;-58;-80;2
-86;-93;-81;-81;-63;-80;-58;-80;2
-84;-93;-80;-81;-63;-85;-59;-80;2
-82;-93;-80;-81;-65;-79;-60;-83;2
-82;-90;-82;-81;-62;-79;-61;-86;2
-82;-89;-83;-81;-62;-79;-61;-77;2
-81;-85;-82;-81;-62;-79;-60;-75;2
-81;-84;-81;-81;-62;-81;-60;-75;2
-81;-84;-82;-81;-62;-81;-60;-75;2
-82;-83;-82;-87;-62;-86;-59;-74;2
-82;-85;-82;-87;-65;-86;-59;-76;2
-82;-84;-84;-87;-65;-88;-59;-78;2
