COUNTER FLAG;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN
164;-87.78813559322033;-80.72033898305085;-86.90677966101696;-86.50847457627118;-59.771186440677965;-70.77966101694915;-63.08474576271186;-84.13559322033899
165;-81.63478260869566;-90.37391304347825;-80.90434782608696;-80.3913043478261;-60.73913043478261;-74.44347826086957;-65.55652173913043;-82.97391304347826
166;-83.76724137931035;-85.05172413793103;-76.65517241379311;-80.94827586206897;-72.47413793103448;-71.88793103448276;-62.85344827586207;-85.76724137931035
167;-74.71186440677967;-82.72881355932203;-72.62711864406779;-81.26271186440678;-60.53389830508475;-77.90677966101696;-60.71186440677966;-84.51694915254237
168;-75.65178571428571;-86.53571428571429;-73.0625;-83.33035714285714;-54.357142857142854;-88.60714285714286;-60.75892857142857;-81.875
169;-81.22413793103448;-79.64655172413794;-70.52586206896552;-76.90517241379311;-59.689655172413794;-86.34482758620689;-58.241379310344826;-79.00862068965517
170;-75.18032786885246;-72.5327868852459;-78.37704918032787;-73.37704918032787;-66.0327868852459;-91.0327868852459;-55.67213114754098;-85.08196721311475
171;-73.58260869565217;-66.58260869565217;-68.82608695652173;-69.49565217391304;-62.8;-89.02608695652174;-56.11304347826087;-76.77391304347826
172;-74.7107438016529;-70.73553719008264;-73.15702479338843;-73.29752066115702;-64.74380165289256;-89.65289256198348;-53.65289256198347;-70.6198347107438
173;-75.77235772357723;-72.34959349593495;-71.09756097560975;-70.869918699187;-67.40650406504065;-89.5609756097561;-49.78861788617886;-71.3739837398374
174;-73.30701754385964;-73.66666666666667;-77.73684210526316;-73.60526315789474;-67.14912280701755;-91.5701754385965;-47.35964912280702;-72.92105263157895
175;-78.33613445378151;-78.6218487394958;-70.42857142857143;-71.31932773109244;-70.05882352941177;-90.10924369747899;-50.46218487394958;-75.91596638655462
176;-74.45454545454545;-76.57272727272728;-65.06363636363636;-73.41818181818182;-71.42727272727272;-91.0;-50.836363636363636;-72.36363636363636
177;-81.58870967741936;-72.61290322580645;-71.2258064516129;-73.62903225806451;-66.12903225806451;-89.66129032258064;-45.733870967741936;-78.68548387096774
178;-89.19327731092437;-84.70588235294117;-76.88235294117646;-72.0672268907563;-64.66386554621849;-90.14285714285714;-52.94117647058823;-73.98319327731092
179;-80.88793103448276;-87.61206896551724;-83.75862068965517;-71.0;-65.5;-89.44827586206897;-55.16379310344828;-75.75862068965517
180;-82.12280701754386;-89.70175438596492;-81.29824561403508;-78.96491228070175;-66.16666666666667;-89.07894736842105;-58.09649122807018;-72.4298245614035
181;-80.28448275862068;-88.23275862068965;-79.78448275862068;-80.57758620689656;-67.87068965517241;-92.54310344827586;-62.37931034482759;-70.76724137931035
182;-83.03361344537815;-91.10924369747899;-79.71428571428571;-90.3529411764706;-68.82352941176471;-91.02521008403362;-74.05882352941177;-74.65546218487395
